ID;Nombre_Aportante;Tipo_Aportante;Candidato;Tipo_Donatorio;ID_Eleccion;Territorio;ID_Partido;Partido;Tipo_Aporte;Fecha_de_Transferencia;Monto;Unnamed: 10;Unnamed: 11;Unnamed: 12
10;DANIELA ARELIS URIBE CARO;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;29-08-17;$5.000;;;
11;;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;03-10-17;$25.000;;;
12;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$10.000;;;
13;JAIME EDUARDO SILVA ARANCIBIA;PERSONA NATURAL;CAROLINA GOIC BOROEVIC;CANDIDATO;PRESIDENTE;NACIONAL;PDC;PARTIDO DEMOCRATA CRISTIANO;PÚBLICO;14-09-17;$100.000;;;
14;LUIS ARMANDO ILLANES SAAVEDRA;PERSONA NATURAL;CAROLINA GOIC BOROEVIC;CANDIDATO;PRESIDENTE;NACIONAL;PDC;PARTIDO DEMOCRATA CRISTIANO;PÚBLICO;14-09-17;$10.000;;;
15;ARIEL PEREZ VIVEROS;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$5.000;;;
16;FERNANDO ARTURO ORDOÑEZ SANHUEZA;PERSONA NATURAL;CAROLINA GOIC BOROEVIC;CANDIDATO;PRESIDENTE;NACIONAL;PDC;PARTIDO DEMOCRATA CRISTIANO;PÚBLICO;14-09-17;$500.000;;;
17;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$5.000;;;
18;EGON FERNANDO SCHMIDLIN VILLAVICENCIO;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$100.000;;;
19;SEBASTIAN ANDRES GAETE CAÑOLES;PERSONA NATURAL;SOLEDAD ALAMOS FUENZALIDA;CANDIDATO;DIPUTADOS;DISTRITO Nº 11;RD;REVOLUCION DEMOCRATICA;PÚBLICO;29-08-17;$2.000;;;
20;CARLOS ALONSO MUNDACA BARRERA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$15.000;;;
21;ROLY EDUARDO FONSECA HERNANDEZ;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$1.000;;;
22;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;20-09-17;$10.000;;;
23;OSCAR SENEN VALENZUELA PALMA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$2.000;;;
24;;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;29-08-17;$50.000;;;
25;AMADOR LISANDRO SEPULVEDA GARCIA;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;29-08-17;$2.000;;;
26;;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;08-09-17;$20.000;;;
27;;PERSONA NATURAL;JAIME TOHA GONZALEZ;CANDIDATO;DIPUTADOS;DISTRITO Nº 20;PS;PARTIDO SOCIALISTA DE CHILE;NO PÚBLICO;20-09-17;$500.000;;;
28;HORACIO ORLANDO BORQUEZ CONTI;PERSONA NATURAL;HORACIO BORQUEZ CONTI;CANDIDATO;DIPUTADOS;DISTRITO Nº 19;RN;RENOVACION NACIONAL;PROPIO;21-09-17;$1.000;;;
29;ANDREA CRISTINA UGALDE PRIETO;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;29-08-17;$20.000;;;
30;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;20-09-17;$10.000;;;
31;JUAN EDUARDO QUIDEL ALARCON;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$10.000;;;
32;;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;08-09-17;$10.000;;;
33;MIGUEL ANGEL MORALES VILLEGAS;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;29-08-17;$3.000;;;
34;IVAN FULVIO ESPINOZA SALAS;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;29-08-17;$10.000;;;
35;LUIS ALBERTO MORENO LOPEZ;PERSONA NATURAL;SEBASTIAN PIÑERA ECHEÑIQUE;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;08-09-17;$50.000;;;
36;LUIS ARMANDO ILLANES SAAVEDRA;PERSONA NATURAL;MARCIA ISABEL WALL TORO;CANDIDATO;DIPUTADOS;DISTRITO Nº 19;PDC;PARTIDO DEMOCRATA CRISTIANO;PÚBLICO;21-09-17;$10.000;;;
37;ANDRES ERNESTO GUZMAN FERNANDEZ;PERSONA NATURAL;FERNANDO ATRIA LEMAITRE;CANDIDATO;DIPUTADOS;DISTRITO Nº 11;PS;PARTIDO SOCIALISTA DE CHILE;PÚBLICO;21-09-17;$10.000;;;
38;RICARDO ANTONIO SANCHEZ HENRIQUEZ;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;08-09-17;$20.000;;;
39;FELIPE ANTONIO SANCHEZ VARAS;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;29-08-17;$100.000;;;
40;ROLANDO LUIS OSORIO CORTEZ;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;08-09-17;$10.000;;;
41;;PERSONA NATURAL;FERNANDO ATRIA LEMAITRE;CANDIDATO;DIPUTADOS;DISTRITO Nº 11;PS;PARTIDO SOCIALISTA DE CHILE;NO PÚBLICO;20-09-17;$5.000;;;
42;JULIO HERNAN ANDRADES CARTES;PERSONA NATURAL;JULIO ANDRADES CARTES;CANDIDATO;CONSEJEROS REGIONALES;CONCEPCION 1;UDI;UNION DEMOCRATA INDEPENDIENTE;PROPIO;21-09-17;$1.000;;;
43;CRISTIAN JOHN OTEIZA DONOSO;PERSONA NATURAL;ALBERTO MAYOL MIRANDA;CANDIDATO;DIPUTADOS;DISTRITO Nº 10;IGUALDAD;PARTIDO IGUALDAD;PÚBLICO;21-09-17;$10.000;;;
44;NICOLAS MUÑOZ MONTES;PERSONA NATURAL;NICOLAS MUÑOZ MONTES;CANDIDATO;DIPUTADOS;DISTRITO Nº 10;PDC;PARTIDO DEMOCRATA CRISTIANO;PROPIO;20-09-17;$1.000.000;;;
45;GUILLERMO LEONIDAS MARCELO CALDERON SALDIAS;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;08-09-17;$5.000;;;
46;JOSE CRISTIAN FUENZALIDA GONZALEZ;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$100.000;;;
47;JUAN SEBASTIAN VIAL BASCUÑAN;PERSONA NATURAL;ANDRES VELASCO BRAÑES;CANDIDATO;SENADORES;9ª CIRCUNSCRIPCION;CIUDADANOS;CIUDADANOS;PÚBLICO;20-09-17;$526.398;;;
48;RAUL ALEJANDRO OLGUIN HEVIA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$1.000;;;
49;MARCOS RAFAEL AVIÑO SIMON;PERSONA NATURAL;TOMAS HIRSCH GOLDSCHMIDT;CANDIDATO;DIPUTADOS;DISTRITO Nº 11;PH;PARTIDO HUMANISTA;PÚBLICO;29-08-17;$300.000;;;
50;EDUARDO RODRIGO VEGA HERRERA;PERSONA NATURAL;YASNA PROVOSTE CAMPILLAY;CANDIDATO;SENADORES;4ª CIRCUNSCRIPCION;PDC;PARTIDO DEMOCRATA CRISTIANO;PÚBLICO;21-09-17;$100.000;;;
51;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;20-09-17;$3.000;;;
52;PATRICIA ELENA SILVA SEGOVIA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$10.000;;;
53;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$3.000;;;
54;CHRISTIAN DANIEL VILLENA VERGARA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;20-09-17;$10.000;;;
55;KAREN ELIZABETH BEHRENS NAVARRETE;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$3.000;;;
56;PAULINA ALEJANDRA DURAN TORO;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$3.000;;;
57;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$1.000;;;
58;JAIME ALBERTO ANDAUR LABBE;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;20-09-17;$20.000;;;
59;ALEXANDER MENDEZ DIAZ;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;20-09-17;$10.000;;;
60;FEDERICO ROJAS DE GALARRETA;PERSONA NATURAL;TOMAS HIRSCH GOLDSCHMIDT;CANDIDATO;DIPUTADOS;DISTRITO Nº 11;PH;PARTIDO HUMANISTA;PÚBLICO;08-09-17;$200.000;;;
61;LUIS GONZALO ALFARO TRONCOSO;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$1.000;;;
62;MARIA ELIANA RAMIREZ MEDINA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$5.000;;;
63;JAVIER CLAUDIO MORALES VALDES;PERSONA NATURAL;MARISELA SANTIBAÑEZ NOVOA;CANDIDATO;DIPUTADOS;DISTRITO Nº 14;PP;PARTIDO PROGRESISTA;PÚBLICO;21-09-17;$10.000;;;
64;JAIME EDUARDO SILVA ARANCIBIA;PERSONA NATURAL;NICOLAS MUÑOZ MONTES;CANDIDATO;DIPUTADOS;DISTRITO Nº 10;PDC;PARTIDO DEMOCRATA CRISTIANO;PÚBLICO;20-09-17;$50.000;;;
65;ROSANA CLAUDIA MALLAT WALTERS;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$5.000;;;
66;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$3.000;;;
67;;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;29-08-17;$50.000;;;
68;MONICA ALEJANDRA VARGAS AGUIRRE;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$15.000;;;
69;MYRIAM ROSIO BALBOA GALLARDO;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$10.000;;;
70;GLADYS AMELIA FIGUEROA MONTENEGRO;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$20.000;;;
71;LYSETTE BARBARA HENRIQUEZ AMESTOY;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;20-09-17;$600.000;;;
72;CECILIA MORELIA GONZALEZ GONZALEZ;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$10.000;;;
73;BARBARA GRISEL MAURIZIANO GALVEZ;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$50.000;;;
74;;PERSONA NATURAL;JAIME TOHA GONZALEZ;CANDIDATO;DIPUTADOS;DISTRITO Nº 20;PS;PARTIDO SOCIALISTA DE CHILE;NO PÚBLICO;20-09-17;$150.000;;;
75;ELCIRA SANCHEZ BARAHONA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$30.000;;;
76;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$10.000;;;
77;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;20-09-17;$10.000;;;
78;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$20.000;;;
79;JUAN SEBASTIAN VIAL BASCUÑAN;PERSONA NATURAL;ANDRES VELASCO BRAÑES;CANDIDATO;SENADORES;9ª CIRCUNSCRIPCION;CIUDADANOS;CIUDADANOS;PÚBLICO;20-09-17;$4.000.000;;;
80;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$100.000;;;
81;MARCELA VALERIA AEDO AEDO;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$20.000;;;
82;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;20-09-17;$50.000;;;
83;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$10.000;;;
84;BRENDA IRENE PULIDO SALINAS;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$5.000;;;
85;MIGUEL ALEXI CANIUQUEO CABRERA;PERSONA NATURAL;NELSON JAIME AVILA CONTRERAS;CANDIDATO;SENADORES;6ª CIRCUNSCRIPCION;PRSD;PARTIDO RADICAL SOCIALDEMOCRATA;PÚBLICO;21-09-17;$5.000;;;
86;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$10.000;;;
87;EMILIO ANAN VILLEGAS SANTANDER;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$10.000;;;
88;FELIX JACINTO MADARIAGA LEIVA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$10.000;;;
89;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$5.000;;;
90;CLAUDIO ANDRES SAEZ GONZALEZ;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;08-09-17;$10.000;;;
91;MILENKO GUSTAVO FRANULIC SIPPA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$50.000;;;
92;MARCELO ANTONIO VERA MARASI;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;20-09-17;$10.000;;;
93;ROSA DEL TRANSITO GONZALEZ HUARACAN;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$1.000;;;
94;WALDO FRANCISCO JAVIER CARRASCO SEGURA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$50.000;;;
95;;PERSONA NATURAL;GABRIELA CARRASCO TOBAR;CANDIDATO;DIPUTADOS;DISTRITO Nº 8;PS;PARTIDO SOCIALISTA DE CHILE;NO PÚBLICO;20-09-17;$100.000;;;
96;JAVIER ALONSO ALBORNOZ REBOLLEDO;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$10.000;;;
97;;PERSONA NATURAL;ALBERTO MAYOL MIRANDA;CANDIDATO;DIPUTADOS;DISTRITO Nº 10;IGUALDAD;PARTIDO IGUALDAD;NO PÚBLICO;20-09-17;$100.000;;;
98;JUANA LIDIA MARAMBIO MELENDEZ;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$5.000;;;
99;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$10.000;;;
100;DARIO SAMY ERGAS BENMAYOR;PERSONA NATURAL;TOMAS HIRSCH GOLDSCHMIDT;CANDIDATO;DIPUTADOS;DISTRITO Nº 11;PH;PARTIDO HUMANISTA;PÚBLICO;08-09-17;$2.000.000;;;
101;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$5.000;;;
102;GERARDO SEGUNDO VALENZUELA BRAVO;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$10.000;;;
103;FERNANDO ERNESTO KRAUSS RUZ;PERSONA NATURAL;SEBASTIAN ESTEVEZ PEYRESBLANQUES;CANDIDATO;CONSEJEROS REGIONALES;SANTIAGO 5;PS;PARTIDO SOCIALISTA DE CHILE;PÚBLICO;21-09-17;$100.000;;;
104;IVANA PERIC MALUK;PERSONA NATURAL;FERNANDO ATRIA LEMAITRE;CANDIDATO;DIPUTADOS;DISTRITO Nº 11;PS;PARTIDO SOCIALISTA DE CHILE;PÚBLICO;21-09-17;$20.000;;;
105;RICARDO MARIO VERDEJO SASSO;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$1.000;;;
106;EDMUNDO SILVA MARTEL;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$10.000;;;
107;;PERSONA NATURAL;FERNANDO ATRIA LEMAITRE;CANDIDATO;DIPUTADOS;DISTRITO Nº 11;PS;PARTIDO SOCIALISTA DE CHILE;NO PÚBLICO;20-09-17;$400.000;;;
108;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$1.000;;;
109;;PERSONA NATURAL;FERNANDO ATRIA LEMAITRE;CANDIDATO;DIPUTADOS;DISTRITO Nº 11;PS;PARTIDO SOCIALISTA DE CHILE;NO PÚBLICO;20-09-17;$8.000;;;
110;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;20-09-17;$1.000;;;
111;;PERSONA NATURAL;FRANCISCO UNDURRAGA GAZITUA;CANDIDATO;DIPUTADOS;DISTRITO Nº 11;EVOPOLI;EVOLUCION POLITICA;NO PÚBLICO;21-09-17;$1.000;;;
112;;PERSONA NATURAL;OSVALDO ANDRADE LARA;CANDIDATO;DIPUTADOS;DISTRITO Nº 12;PS;PARTIDO SOCIALISTA DE CHILE;NO PÚBLICO;20-09-17;$50.000;;;
113;;PERSONA NATURAL;SEBASTIAN PIÑERA ECHEÑIQUE;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;08-09-17;$1.000.000;;;
114;GLORIA CAROLINA TORRES HUENCHUAL;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;02-10-17;$1.000;;;
115;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$50.000;;;
116;FRANCISCO ANTONIO HIDALGO ASTORGA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;21-09-17;$1.000;;;
117;ANA MARIA LAGOS HERRERA;PERSONA NATURAL;PARTIDO SOCIALISTA DE CHILE;PARTIDO;CONSEJEROS REGIONALES;;PS;PARTIDO SOCIALISTA DE CHILE;PÚBLICO;04-10-17;$5.000;;;
118;ANA MARIA LAGOS HERRERA;PERSONA NATURAL;CHRISTIAN SEYMOUR SUAZO;CANDIDATO;CONSEJEROS REGIONALES;SANTIAGO 2;PS;PARTIDO SOCIALISTA DE CHILE;PÚBLICO;20-09-17;$5.000;;;
